Resumen generado por la IA,AI keywords,País,URL,Instituciones,Destinatarios,Fecha de cierre,Publicar,Geolocation,Latitude,Longitude,Nombre
DAAD giras conciertos estudiantes doctorandos,"Alemania, Artificial Intelligence, Becas de estudio",Alemania,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/daad-conciertos-alemania,DAAD (Deutscher Akademischer Austauschdienst),"Grado, Posgrado","September 1, 2024",Yes,"52.52001, 13.40495",5.252.001,1.340.495,Becas DAAD para giras de conciertos de estudiantes y doctorandos en Alemania
Maestría en Música en Alemania,,Alemania,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/maestria-musica-alemania,DAAD,Posgrado,,No,"52.5200, 13.4050.",525.200,13.4050.,Becas DAAD para maestría en Música en Alemania
"""Pilar Juncosa"" para artistas visuales en España","Artistas, Becas para artistas visuales, España",España,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/pilar-juncosa-investigacion-joan-miro-espana,"""Pilar Juncosa""",Artistas,"July 31, 2024",Yes,"41.3851, 2.1734",413.851,2.1734,"Becas y premios ""Pilar Juncosa"" para artistas visuales en España"
Fundación Pollock-Krasner en EE.UU.,"Artistas, Estados Unidos de América, Fundación Pollock-Krasner",Estados Unidos de América,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/pollock-krasner-usa,Fundación Pollock-Krasner,Artistas,"December 31, 2024",Yes,"38.90719, -77.03739.",3.890.719,-77.03739.,Becas de la Fundación Pollock-Krasner para artistas visuales en Estados Unidos
Cursos en Malasia,"Becas en Malasia, Programa de Cooperación Técnica",Malasia,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/turismo-herencia-cultural-malasia,Malaysian Technical Cooperation Programme,No especifica,,No,"3.1390° N, 101.6869° E.",3.1390° N,101.6869° E.,Cursos del Malaysian Technical Cooperation Programme en Malasia
Uni Friburgo Posdoc,"Becas para investigadores, Suiza, Universidad de Friburgo",Suiza,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/estancias-cortas-posdoctorado-friburgo-suiza,"Universidad de Friburgo, Suiza",Posdoctoral,"June 30, 2024",Yes,"46.9480, 7.4474.",469.480,7.4474.,"Becas para investigadores en la Universidad de Friburgo, Suiza"
"Doctorado en la Universidad de Lingnan en Hong Kong, China","Becas de doctorado, Becas de doctorado en la Universidad de Lingnan en Hong Kong, China, Universidad de Lingnan en Hong Kong",China,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-doctorado-en-la-universidad-de-lingnan-en-hong-kong,Universidad de Lingnan en Hong Kong,Posgrado,,No,"39.9042, 116.4074",399.042,1.164.074,"Becas de doctorado en la Universidad de Lingnan en Hong Kong, China"
Oportunidad Italo-latinoamericana,,Italia,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/org-italolatinoamericana-italia,Organización Internacional Italo-latinoamericana,No especifica,"September 30, 2023",No,"41.9028, 12.4964",419.028,12.4964,Becas de la Organización Internacional Italo-latinoamericana en Italia
Fundación Bogliasco en Italia,,Italia,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-la-fundacion-bogliasco-para-profesionales-de-arte-y,Fundación Bogliasco,"Grado, Posgrado, Artistas",,No,"41.9028, 12.4964",419.028,12.4964,Becas de la Fundación Bogliasco para profesionales de Arte y Humanidades en Italia
Investigación en Historia del Arte en la Fundación Getty en EE.UU.,"Becas de investigación, Fundación Getty, Historia del Arte",Estados Unidos de América,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-investigacion-en-historia-del-arte-en-la-fundacion,Fundación Getty,Posgrado,,Yes,"38.90719, -77.03792.",3.890.719,-77.03792.,Becas de investigación en Historia del Arte en la Fundación Getty en Estados Unidos
