Resumen generado por la IA,AI keywords,País,URL,Instituciones,Destinatarios,Fecha de cierre,Publicar,Geolocation,Latitude,Longitude,Nombre,Entidad,Nueva?,Related 146 Oportunidades,Rollup,Total de nuevas
Animales 2024 - Arte Online,,,https://www.colorsofhumanityartgallery.com/Animals-2024/Animals-2024-Prospectus-and-Entry/n-9mQ3Mg,,,"October 16, 2024",No,,,,"""Animals"" 2024 Call for Entry - Online Art Show",,0,,,
Contemporary Fiber: Botanicals,Arte contemporáneo,,https://www.fiberartnow.net/calls/,,,"December 6, 2024",Yes,,,,"""Contemporary Fiber: Botanicals"" by Fiber Art Now",Fiber Art Now,0,,,
Formas y Figuras,"Arte, convocatoria, exposición colectiva",,https://upwardgallery.com/ad/competitions/89/forms-and-shapes,,,"October 15, 2024",No,,,,"""Forms and Shapes"" Juried Art Exhibition",,0,,,
"Exhibición AI ""Future?""","Arte Digital, Premio Internacional, Residencias Artísticas",EEUU,https://upwardgallery.com/ad/competitions/75/future,,,"November 4, 2024",No,,,,"""Future?"" Juried AI Art Exhibition",,0,,,
"""JOY"" Exh. 2024",,,https://www.arc-sf.com/joy-2024.html#dashboard,,,"September 11, 2024",No,,,,"""JOY"" National Juried Exhibition 2024",,0,,,
Nature's Palette Exhibit,Artes Visuales,Global,https://www.cognitoforms.com/cityofsantaclaritaartsandevents/naturespalettejuriedexhibition#new_tab,,,"July 30, 2024",No,,,,“Nature’s Palette” Juried Exhibition,,0,,,
TERRA EARTH - EXHIBICIÓN VIRTUAL,,,https://www.instagram.com/p/C63m5jboSFv/?hl=es,,,"August 2, 2024",No,,,,“TERRA EARTH” - A VIRTUAL EXHIBITION,,0,,,
Wet Paint 2024,convocatoria,Estados Unidos,https://www.colorsofhumanityartgallery.com/Wet-Paint-2024-Prospectus-and-Entry/Wet-Paint-2024-Prospectus-and-Entry/n-rZvVpx,,,"August 15, 2024",No,,,,"""Wet Paint"" 2024",,0,,,
Women's Work 2025,,,https://womens-work-2025.artcall.org/,,,"October 2, 2024",No,,,,"""Women's Work"" 2025",,0,,,
Convocatoria Artistas,,,https://es.artealdia.com/Convocatorias/(offset)/1,,Curaduría,"August 31, 2024",No,,,,(OFFSET)/1,,0,,,
(OFFSET)/2,,,https://es.artealdia.com/Convocatorias/(offset)/2,,,,No,,,,(OFFSET)/2,,0,,,
(OFFSET)/3,,,https://es.artealdia.com/Convocatorias/(offset)/3,,,,No,,,,(OFFSET)/3,,0,,,
